Nombre,Paquete de Ventas,Caracteristicas
"ASUS ROG Strix SCAR 17 Core i9 12th Gen - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RTX 3070 Ti) G733ZW-LL139WS Gaming Laptop  (17.3 inch, Off Black, 2.90 kg, With MS Office)","Laptop, Power Adaptor, User Guide, Warranty Documents","Off Black,Gaming Laptop,Gaming,Intel,Core i9,32 GB,DDR5,Windows 11 Home"
"ASUS ROG Strix SCAR 15 Core i9 12th Gen - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RTX 3070 Ti) G533ZW-LN136WS Gaming Laptop  (15.6 inch, Off Black, 2.30 kg, With MS Office)","Laptop, Power Adaptor, User Guide, Warranty Documents","Off Black,Gaming Laptop,Gaming,Intel,Core i9,32 GB,DDR5,Windows 11 Home"
"HP Victus Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050) 16-e0351AX Gaming Laptop  (16.1 inch, Mica Silver, 2.48 kg, With MS Office)","Laptop, battery, adapter, cables and user manuals","Mica Silver,Gaming Laptop,Gaming,AMD,Ryzen 7 Octa Core,16 GB,DDR4,Windows 11 Home"
"Lenovo IdeaPad Gaming 3i Ryzen 7 Octa Core R7-5800H 5th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050) 15ACH6 Gaming Laptop  (15.6 inch, Shadow Black, 2.25 kg, With MS Office)","Laptop, Power Adaptor, User Guide, Warranty Documents","Shadow Black,Gaming Laptop,Gaming,AMD,Ryzen 7 Octa Core,16 GB,DDR4,Windows 11 Home"
"Lenovo Yoga Slim 7 Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) 82A300MBIN Thin and Light Laptop  (14 inch, Slate Grey, With MS Office)","Laptop, Adaptor","Slate Grey,Thin and Light Laptop,Processing & Multitasking, Entertainment, Everyday Use, Performance, Travel & Business,Intel,Core i5,16 GB,DDR4,Windows 11 Home"
"Lenovo Yoga Slim 7 Core i7 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) 14ITL05 Thin and Light Laptop  (14 inch, Slate Grey, 1.36 kg, With MS Office)","Thin & Light Laptop, Power Adaptor, User Guide, Warranty Documents","Slate Grey,Thin and Light Laptop,Processing & Multitasking,Intel,Core i7,16 GB,DDR4,Windows 11 Home"
"Lenovo Lenovo V15 Celeron Dual Core - (4 GB/256 GB SSD/Windows 10) 82C30053IH Thin and Light Laptop  (15.6 inch, Iron Grey)",Laptop & Adaptor,"Iron Grey,Thin and Light Laptop,Everyday Use, Entertainment, Travel & Business, Processing & Multitasking,Intel,Celeron Dual Core,4 GB,DDR4,Windows 10"
"Lenovo Yoga 6 Ryzen 7 Octa Core R7-5700U 5th Gen - (16 GB/1 TB SSD/Windows 11 Home) 13ALC6 2 in 1 Laptop  (13.3 inch, Abyss Blue, 1.31 kg, With MS Office)","2 in 1 Laptop, Power Adaptor, User Guide, Warranty Documents","Abyss Blue,2 in 1 Laptop,Processing & Multitasking,AMD,Ryzen 7 Octa Core,16 GB,DDR4,Windows 11 Home"
"ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/1 TB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650/144 Hz) FX506LH-HN310W Gaming Laptop  (15.6 inch, Black, 2.30 kg)","Laptop , Adaptor, & Manual","Black,Gaming Laptop,Gaming, Entertainment, Processing & Multitasking, Everyday Use, Performance,Intel,Core i5,8 GB,DDR4,Windows 11 Home"
"DELL Inspiron Pentium Silver - (8 GB/256 GB SSD/Windows 11 Home) Inspiron 3521 Notebook  (15.6 Inch, Carbon Black, 1.61 Kg, With MS Office)","Laptop, battery, adapter, cables and user manuals","Carbon Black,Notebook,Everyday Use,Intel,Pentium Silver,8 GB,DDR4,Windows 11 Home"
