Interests,Accessibility,Site Name,Sites Visited,Age_Group,Tour_Duration_Pref,Rating_Category,Response_Speed,Accuracy_Level,VR_Quality,Satisfaction_Level
"Architecture, Art, History",False,Eiffel Tower,"Eiffel Tower, Great Wall of China, Taj Mahal",46-55,Media(5-7h),Bajo,Lento,Alta,Buena,Media
"Cultural, Nature",False,Colosseum,Great Wall of China,36-45,Media(5-7h),Medio,Normal,Media,Buena,Media
"History, Art, Architecture",True,Machu Picchu,Eiffel Tower,36-45,Media(5-7h),Bajo,Rápido,Media,Excelente,Media
"Cultural, Art, Architecture",False,Colosseum,"Machu Picchu, Taj Mahal",46-55,Larga(8-10h),Bajo,Rápido,Media,Excelente,Media
"Architecture, Art",True,Colosseum,"Machu Picchu, Taj Mahal, Great Wall of China",46-55,Media(5-7h),Alto,Rápido,Alta,Excelente,Alta
"Architecture, History, Cultural",False,Machu Picchu,"Great Wall of China, Eiffel Tower, Colosseum",46-55,Corta(1-4h),Medio,Lento,Alta,Buena,Media
"Architecture, History",False,Eiffel Tower,"Eiffel Tower, Colosseum, Taj Mahal",56+,Media(5-7h),Alto,Lento,Media,Buena,Alta
"Cultural, Architecture",False,Eiffel Tower,Colosseum,18-25,Media(5-7h),Medio,Lento,Media,Excelente,Media
"Cultural, Art",True,Colosseum,"Great Wall of China, Eiffel Tower, Colosseum",26-35,Media(5-7h),Alto,Rápido,Media,Buena,Alta
"Nature, Architecture",False,Colosseum,"Colosseum, Taj Mahal, Machu Picchu",56+,Media(5-7h),Alto,Lento,Media,Excelente,Alta
"Nature, Architecture",False,Eiffel Tower,"Machu Picchu, Colosseum, Taj Mahal",26-35,Corta(1-4h),Medio,Lento,Alta,Buena,Media
Cultural,True,Eiffel Tower,"Colosseum, Machu Picchu",36-45,Corta(1-4h),Bajo,Normal,Alta,Excelente,Media
"Nature, Cultural, Architecture",True,Eiffel Tower,"Machu Picchu, Eiffel Tower, Great Wall of China",36-45,Larga(8-10h),Bajo,Normal,Alta,Buena,Media
Cultural,True,Colosseum,Eiffel Tower,56+,Larga(8-10h),Alto,Normal,Media,Buena,Alta
"Cultural, Architecture, Art",True,Eiffel Tower,"Taj Mahal, Eiffel Tower",56+,Corta(1-4h),Medio,Normal,Media,Buena,Media
Cultural,False,Eiffel Tower,"Great Wall of China, Machu Picchu, Colosseum",46-55,Media(5-7h),Bajo,Lento,Media,Buena,Media
Cultural,True,Taj Mahal,"Great Wall of China, Machu Picchu",56+,Media(5-7h),Medio,Rápido,Media,Buena,Media
"Nature, Cultural",True,Machu Picchu,"Eiffel Tower, Colosseum",18-25,Media(5-7h),Medio,Lento,Alta,Buena,Media
History,False,Taj Mahal,"Colosseum, Eiffel Tower, Taj Mahal",18-25,Media(5-7h),Medio,Normal,Media,Excelente,Media
"Nature, Architecture",False,Colosseum,Great Wall of China,56+,Larga(8-10h),Medio,Lento,Media,Excelente,Media
Architecture,True,Machu Picchu,Taj Mahal,36-45,Media(5-7h),Medio,Normal,Media,Excelente,Media
"Nature, History, Cultural",True,Colosseum,"Machu Picchu, Eiffel Tower, Taj Mahal",56+,Media(5-7h),Medio,Normal,Alta,Regular,Media
"Nature, Cultural",True,Great Wall of China,Colosseum,56+,Larga(8-10h),Alto,Rápido,Media,Excelente,Alta
Cultural,True,Taj Mahal,"Machu Picchu, Great Wall of China",46-55,Media(5-7h),Medio,Lento,Alta,Buena,Media
Cultural,True,Taj Mahal,"Machu Picchu, Eiffel Tower",26-35,Larga(8-10h),Medio,Normal,Media,Excelente,Media
"Nature, Art",False,Colosseum,"Colosseum, Eiffel Tower, Great Wall of China",56+,Corta(1-4h),Bajo,Lento,Media,Buena,Media
"Nature, Art, Cultural",True,Taj Mahal,"Machu Picchu, Eiffel Tower",18-25,Corta(1-4h),Bajo,Lento,Media,Buena,Media
