antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
Nature,History,0.4042,0.391,0.1364,0.3374567046016823,0.8630606255797502,1.0,-0.0216422,0.919185212845407,-0.21030359543722565,0.20704310868245293,-0.08792002528459393,0.34315290473050863
History,Nature,0.391,0.4042,0.1364,0.348849104859335,0.8630606255797502,1.0,-0.0216422,0.9149952867242732,-0.20668743517798713,0.20704310868245293,-0.09290180453283818,0.34315290473050863
Nature,Architecture,0.4042,0.3936,0.135,0.3339930727362692,0.8485596360169442,1.0,-0.024093119999999996,0.9105010401188709,-0.2304985586377835,0.20368135184067593,-0.09829638401011014,0.338490438807159
Architecture,Nature,0.3936,0.4042,0.135,0.3429878048780488,0.8485596360169441,1.0,-0.024093119999999996,0.9068324825986079,-0.22738556880368205,0.20368135184067593,-0.10273950171525881,0.338490438807159
Cultural,History,0.3958,0.391,0.1306,0.3299646286003032,0.8438993058831283,1.0,-0.024157800000000007,0.9089072398190045,-0.23439082718777585,0.1990246875952454,-0.10022228472856623,0.33198998693442267
History,Cultural,0.391,0.3958,0.1306,0.33401534526854215,0.8438993058831282,1.0,-0.024157800000000007,0.9072281105990784,-0.23297381120459207,0.1990246875952454,-0.10225861425266108,0.33198998693442267
Art,Architecture,0.4008,0.3936,0.1322,0.3298403193612775,0.8380089414666603,1.0,-0.025554879999999974,0.9048589724497396,-0.24391614628432481,0.19963757173059501,-0.10514459208232602,0.33285715155055745
Architecture,Art,0.3936,0.4008,0.1322,0.3358739837398374,0.8380089414666602,1.0,-0.025554879999999974,0.9022384085692425,-0.2417200903207839,0.19963757173059501,-0.10835449976662649,0.33285715155055745
Nature,Art,0.4042,0.4008,0.1348,0.3334982681840673,0.8320815074452778,1.0,-0.027203359999999982,0.8990224201930214,-0.2530140293832055,0.20113398985377504,-0.11231931210936698,0.3349128067467243
Art,Nature,0.4008,0.4042,0.1348,0.33632734530938124,0.8320815074452776,1.0,-0.027203359999999982,0.8977317293233082,-0.2519400693786886,0.20113398985377504,-0.11391852079660753,0.3349128067467243
History,Architecture,0.391,0.3936,0.1272,0.32531969309462916,0.8265236105046473,1.0,-0.026697599999999988,0.8987960576194087,-0.25630745835349406,0.19348950410708854,-0.11259945070146907,0.32424521240097315
Architecture,History,0.3936,0.391,0.1272,0.3231707317073171,0.8265236105046473,1.0,-0.026697599999999988,0.8997837837837839,-0.25712383734906324,0.19348950410708854,-0.11137810885498019,0.32424521240097315
Cultural,Art,0.3958,0.4008,0.131,0.3309752400202123,0.8257865269965377,1.0,-0.02763663999999999,0.8956320241691843,-0.25880192727867957,0.19681490384615385,-0.1165299732639982,0.3289107737027209
Art,Cultural,0.4008,0.3958,0.131,0.3268463073852296,0.8257865269965377,1.0,-0.02763663999999999,0.8975661971830987,-0.2603991412944503,0.19681490384615385,-0.11412395335115923,0.3289107737027209
Cultural,Architecture,0.3958,0.3936,0.1276,0.32238504295098536,0.8190676904242514,1.0,-0.028186879999999997,0.8949035048471291,-0.2677254024399047,0.19280749471139316,-0.1174389133394041,0.32328601741045204
Architecture,Cultural,0.3936,0.3958,0.1276,0.3241869918699187,0.8190676904242513,1.0,-0.028186879999999997,0.8940342857142859,-0.2670134531322942,0.19280749471139316,-0.1185253361967582,0.32328601741045204
Cultural,Nature,0.3958,0.4042,0.1302,0.3289540171803942,0.8138397258297728,1.0,-0.02978235999999998,0.8878676204819278,-0.27462037525403576,0.19438638399522246,-0.12629402957302083,0.3255358903319091
Nature,Cultural,0.4042,0.3958,0.1302,0.3221177634834241,0.8138397258297728,1.0,-0.02978235999999998,0.8913052554744526,-0.2774180591738551,0.19438638399522246,-0.12195007698870555,0.3255358903319091
Art,History,0.4008,0.391,0.127,0.31686626746506985,0.8103996610359843,1.0,-0.02971280000000001,0.8914799123447772,-0.2808095929353415,0.19103489771359805,-0.12173026688822687,0.3208372258041462
History,Art,0.391,0.4008,0.127,0.3248081841432225,0.8103996610359843,1.0,-0.02971280000000001,0.887451515151515,-0.27754498121540366,0.19103489771359805,-0.12682212259141773,0.3208372258041462
