antecedents,consequents,support,confidence,lift
History,Nature,0.1364,0.3488,0.8631
Nature,History,0.1364,0.3375,0.8631
Nature,Architecture,0.135,0.334,0.8486
Architecture,Nature,0.135,0.343,0.8486
History,Cultural,0.1306,0.334,0.8439
Cultural,History,0.1306,0.33,0.8439
Architecture,Art,0.1322,0.3359,0.838
Art,Architecture,0.1322,0.3298,0.838
Art,Nature,0.1348,0.3363,0.8321
Nature,Art,0.1348,0.3335,0.8321
Architecture,History,0.1272,0.3232,0.8265
History,Architecture,0.1272,0.3253,0.8265
Art,Cultural,0.131,0.3268,0.8258
Cultural,Art,0.131,0.331,0.8258
Architecture,Cultural,0.1276,0.3242,0.8191
Cultural,Architecture,0.1276,0.3224,0.8191
Nature,Cultural,0.1302,0.3221,0.8138
Cultural,Nature,0.1302,0.329,0.8138
History,Art,0.127,0.3248,0.8104
Art,History,0.127,0.3169,0.8104
