antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
Machu Picchu,Taj Mahal,0.384,0.4024,0.1326,0.34531249999999997,0.8581324552683897,1.0,-0.021921600000000013,0.9128019093078757,-0.21159191994069695,0.20281431630468033,-0.09552794511378851,0.33741768141153083
Taj Mahal,Machu Picchu,0.4024,0.384,0.1326,0.32952286282306165,0.8581324552683897,1.0,-0.021921600000000013,0.9187487027427724,-0.21669505639195866,0.20281431630468033,-0.08843691100152332,0.33741768141153083
Eiffel Tower,Colosseum,0.4144,0.3988,0.1392,0.3359073359073359,0.8422952254446738,1.0,-0.02606272000000001,0.9052953488372092,-0.24226758125063222,0.20652818991097924,-0.10461188305499683,0.3424772386658044
Colosseum,Eiffel Tower,0.3988,0.4144,0.1392,0.3490471414242728,0.8422952254446737,1.0,-0.02606272000000001,0.8996043143297381,-0.23747405005714828,0.20652818991097924,-0.11159982680281284,0.3424772386658044
Colosseum,Machu Picchu,0.3988,0.384,0.1288,0.3229689067201605,0.8410648612504179,1.0,-0.024339200000000005,0.9098548148148148,-0.23915005203698878,0.19694189602446485,-0.09907645012960961,0.32919278669341356
Machu Picchu,Colosseum,0.384,0.3988,0.1288,0.33541666666666664,0.8410648612504179,1.0,-0.024339200000000005,0.9046269592476489,-0.23475308641975312,0.19694189602446485,-0.10542803282324244,0.32919278669341356
Eiffel Tower,Machu Picchu,0.4144,0.384,0.1334,0.3219111969111969,0.8383104086229086,1.0,-0.02572960000000002,0.9084355871886122,-0.2477605869465408,0.20060150375939848,-0.10079351150779725,0.3346535151222651
Machu Picchu,Eiffel Tower,0.384,0.4144,0.1334,0.3473958333333333,0.8383104086229085,1.0,-0.02572960000000002,0.8973280127693536,-0.2384489916963228,0.20060150375939848,-0.11441968351548275,0.3346535151222651
Great Wall of China,Colosseum,0.3982,0.3988,0.1324,0.3324962330487192,0.8337418080459359,1.0,-0.026402160000000008,0.9006690744920992,-0.24888801408138433,0.19921757448089075,-0.1102857068384577,0.3322461105063055
Colosseum,Great Wall of China,0.3988,0.3982,0.1324,0.3319959879638917,0.8337418080459359,1.0,-0.026402160000000008,0.9008927927927928,-0.24907453738189744,0.19921757448089075,-0.1100099900899108,0.3322461105063055
Taj Mahal,Eiffel Tower,0.4024,0.4144,0.1384,0.34393638170974156,0.8299623110756312,1.0,-0.02835456,0.8925963636363637,-0.255302964819777,0.20400943396226415,-0.12032721702571454,0.33895660784328774
Eiffel Tower,Taj Mahal,0.4144,0.4024,0.1384,0.333976833976834,0.8299623110756312,1.0,-0.02835456,0.8972660869565218,-0.2591786591786592,0.20400943396226415,-0.11449659642430723,0.33895660784328774
Taj Mahal,Great Wall of China,0.4024,0.3982,0.1328,0.33001988071570576,0.8287792082262827,1.0,-0.02743567999999999,0.8982356083086054,-0.25689570190012895,0.19886193471099134,-0.1132936511869296,0.3317603170529809
Great Wall of China,Taj Mahal,0.3982,0.4024,0.1328,0.33350075339025614,0.8287792082262827,1.0,-0.02743567999999999,0.8966251695553881,-0.25556100374534063,0.19886193471099134,-0.11529325068564898,0.3317603170529809
Great Wall of China,Machu Picchu,0.3982,0.384,0.125,0.3139126067302863,0.8174807466934539,1.0,-0.02790880000000001,0.8978448023426062,-0.2706076960220608,0.1902008520998174,-0.1137782358274573,0.31971672003180984
Machu Picchu,Great Wall of China,0.384,0.3982,0.125,0.3255208333333333,0.8174807466934538,1.0,-0.02790880000000001,0.8922440154440153,-0.26602916056612996,0.1902008520998174,-0.12076963553783097,0.31971672003180984
Colosseum,Taj Mahal,0.3988,0.4024,0.13,0.3259779338014042,0.8100843285323167,1.0,-0.030477119999999996,0.8866178571428571,-0.2805509038127599,0.19368295589988085,-0.12788163687850695,0.32451978201004605
Taj Mahal,Colosseum,0.4024,0.3988,0.13,0.3230616302186879,0.8100843285323167,1.0,-0.030477119999999996,0.8881162995594714,-0.28176476853166715,0.19368295589988085,-0.1259786589842184,0.32451978201004605
Eiffel Tower,Great Wall of China,0.4144,0.3982,0.1336,0.3223938223938224,0.8096278814510859,1.0,-0.03141408000000001,0.8881264957264957,-0.28649349057512336,0.196759941089838,-0.12596573214718773,0.32895180823357617
Great Wall of China,Eiffel Tower,0.3982,0.4144,0.1336,0.33550979407333,0.8096278814510859,1.0,-0.03141408000000001,0.8812770975056691,-0.2809480268043805,0.196759941089838,-0.1347168817053791,0.32895180823357617
