antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"Power Adaptor, User Guide","Laptop, Warranty Documents",0.5625,0.5233050847457628,0.4809322033898305,0.8549905838041432,1.6338281601439495,1.0,0.18657309322033894,3.287337662337663,0.8867212083071112,0.7950963222416811,0.6958024691358026,0.8870094619425574
"Laptop, Warranty Documents","Power Adaptor, User Guide",0.5233050847457628,0.5625,0.4809322033898305,0.9190283400809716,1.6338281601439495,1.0,0.18657309322033894,5.403124999999993,0.8138130200685266,0.7950963222416811,0.8149219201850778,0.8870094619425574
Power Adaptor,"Laptop, Warranty Documents",0.5688559322033898,0.5233050847457628,0.4809322033898305,0.845437616387337,1.6155730969021176,1.0,0.18324700158000573,3.084158668572595,0.8837523947656106,0.7868284228769494,0.6757624663769914,0.8822329782341543
"Laptop, Warranty Documents",Power Adaptor,0.5233050847457628,0.5688559322033898,0.4809322033898305,0.9190283400809716,1.6155730969021176,1.0,0.18324700158000573,5.324629237288129,0.7993049437102301,0.7868284228769494,0.8121934964040225,0.8822329782341543
"Laptop, User Guide, Warranty Documents",Power Adaptor,0.5233050847457628,0.5688559322033898,0.4809322033898305,0.9190283400809716,1.6155730969021176,1.0,0.18324700158000573,5.324629237288129,0.7993049437102301,0.7868284228769494,0.8121934964040225,0.8822329782341543
Power Adaptor,"Laptop, User Guide, Warranty Documents",0.5688559322033898,0.5233050847457628,0.4809322033898305,0.845437616387337,1.6155730969021176,1.0,0.18324700158000573,3.084158668572595,0.8837523947656106,0.7868284228769494,0.6757624663769914,0.8822329782341543
Warranty Documents,"Power Adaptor, User Guide",0.551906779661017,0.5625,0.4978813559322034,0.9021113243761996,1.6037534655576882,1.0,0.18743379237288132,4.469362745098037,0.84014385594286,0.8075601374570448,0.7762544557170276,0.8936168674611695
"Power Adaptor, User Guide",Warranty Documents,0.5625,0.551906779661017,0.4978813559322034,0.8851224105461394,1.6037534655576882,1.0,0.18743379237288132,3.900614754098361,0.8604863221884497,0.8075601374570448,0.7436301549776727,0.8936168674611695
"Laptop, Power Adaptor, User Guide",Warranty Documents,0.5455508474576272,0.551906779661017,0.4809322033898305,0.8815533980582524,1.5972867711458545,1.0,0.1798389920281528,3.783082106140593,0.8228386884774549,0.7800687285223368,0.7356652665886294,0.8764772748448652
Warranty Documents,"Laptop, Power Adaptor, User Guide",0.551906779661017,0.5455508474576272,0.4809322033898305,0.8714011516314779,1.5972867711458545,1.0,0.1798389920281528,3.533850872754869,0.8345101592360002,0.7800687285223368,0.7170225807461891,0.8764772748448652
