antecedents,consequents,support,confidence,lift
"Power Adaptor, User Guide","Laptop, Warranty Documents",0.4809,0.855,1.6338
"Laptop, Warranty Documents","Power Adaptor, User Guide",0.4809,0.919,1.6338
Power Adaptor,"Laptop, User Guide, Warranty Documents",0.4809,0.8454,1.6156
"Laptop, Warranty Documents",Power Adaptor,0.4809,0.919,1.6156
Power Adaptor,"Laptop, Warranty Documents",0.4809,0.8454,1.6156
"Laptop, User Guide, Warranty Documents",Power Adaptor,0.4809,0.919,1.6156
"Power Adaptor, User Guide",Warranty Documents,0.4979,0.8851,1.6038
Warranty Documents,"Power Adaptor, User Guide",0.4979,0.9021,1.6038
"Laptop, Power Adaptor, User Guide",Warranty Documents,0.4809,0.8816,1.5973
Warranty Documents,"Laptop, Power Adaptor, User Guide",0.4809,0.8714,1.5973
Power Adaptor,"User Guide, Warranty Documents",0.4979,0.8752,1.5858
"User Guide, Warranty Documents",Power Adaptor,0.4979,0.9021,1.5858
Power Adaptor,Warranty Documents,0.4979,0.8752,1.5858
Warranty Documents,Power Adaptor,0.4979,0.9021,1.5858
Warranty Documents,"Laptop, Power Adaptor",0.4809,0.8714,1.5789
"Laptop, Power Adaptor",Warranty Documents,0.4809,0.8714,1.5789
"Laptop, Power Adaptor","User Guide, Warranty Documents",0.4809,0.8714,1.5789
"User Guide, Warranty Documents","Laptop, Power Adaptor",0.4809,0.8714,1.5789
"Laptop, User Guide","Power Adaptor, Warranty Documents",0.4809,0.7814,1.5695
"Power Adaptor, Warranty Documents","Laptop, User Guide",0.4809,0.966,1.5695
"Laptop, User Guide",Power Adaptor,0.5456,0.8864,1.5582
Power Adaptor,"Laptop, User Guide",0.5456,0.959,1.5582
"Laptop, Warranty Documents",User Guide,0.5233,1.0,1.5526
User Guide,"Power Adaptor, Warranty Documents",0.4979,0.773,1.5526
User Guide,"Laptop, Warranty Documents",0.5233,0.8125,1.5526
User Guide,"Laptop, Power Adaptor, Warranty Documents",0.4809,0.7467,1.5526
User Guide,Warranty Documents,0.5519,0.8569,1.5526
"Power Adaptor, Warranty Documents",User Guide,0.4979,1.0,1.5526
Warranty Documents,User Guide,0.5519,1.0,1.5526
"Laptop, Power Adaptor, Warranty Documents",User Guide,0.4809,1.0,1.5526
"Laptop, User Guide",Warranty Documents,0.5233,0.8503,1.5406
Warranty Documents,"Laptop, User Guide",0.5233,0.9482,1.5406
User Guide,Power Adaptor,0.5625,0.8734,1.5353
Power Adaptor,User Guide,0.5625,0.9888,1.5353
User Guide,"Laptop, Power Adaptor",0.5456,0.847,1.5348
"Laptop, Power Adaptor",User Guide,0.5456,0.9885,1.5348
Laptop,Power Adaptor,0.5519,0.5874,1.0326
Power Adaptor,Laptop,0.5519,0.9702,1.0326
Laptop,"Power Adaptor, User Guide",0.5456,0.5806,1.0322
"Power Adaptor, User Guide",Laptop,0.5456,0.9699,1.0322
Laptop,"Power Adaptor, User Guide, Warranty Documents",0.4809,0.5118,1.028
Laptop,"Power Adaptor, Warranty Documents",0.4809,0.5118,1.028
"Power Adaptor, User Guide, Warranty Documents",Laptop,0.4809,0.966,1.028
"Power Adaptor, Warranty Documents",Laptop,0.4809,0.966,1.028
Laptop,User Guide,0.6155,0.655,1.017
User Guide,Laptop,0.6155,0.9556,1.017
Laptop,"User Guide, Warranty Documents",0.5233,0.5569,1.0091
Laptop,Warranty Documents,0.5233,0.5569,1.0091
Warranty Documents,Laptop,0.5233,0.9482,1.0091
"User Guide, Warranty Documents",Laptop,0.5233,0.9482,1.0091
