antecedents,consequents,support,confidence,lift
"DDR4, Performance","Entertainment, Processing & Multitasking",0.0519,0.7778,12.0364
"Entertainment, Processing & Multitasking","DDR4, Performance",0.0519,0.8033,12.0364
Entertainment,"DDR4, Performance, Processing & Multitasking",0.0519,0.7538,11.6661
"DDR4, Performance, Processing & Multitasking",Entertainment,0.0519,0.8033,11.6661
"DDR4, Entertainment, Processing & Multitasking",Performance,0.0519,0.875,11.6338
Performance,"DDR4, Entertainment, Processing & Multitasking",0.0519,0.6901,11.6338
"Entertainment, Processing & Multitasking",Performance,0.0561,0.8689,11.5521
Performance,"Entertainment, Processing & Multitasking",0.0561,0.7465,11.5521
Entertainment,"DDR4, Performance",0.0519,0.7538,11.2957
"DDR4, Performance",Entertainment,0.0519,0.7778,11.2957
"Performance, Processing & Multitasking","DDR4, Entertainment",0.0519,0.7101,11.1729
"DDR4, Entertainment","Performance, Processing & Multitasking",0.0519,0.8167,11.1729
"Performance, Processing & Multitasking",Entertainment,0.0561,0.7681,11.1554
Entertainment,"Performance, Processing & Multitasking",0.0561,0.8154,11.1554
"DDR4, Entertainment",Performance,0.0519,0.8167,10.8582
Performance,"DDR4, Entertainment",0.0519,0.6901,10.8582
Entertainment,Performance,0.0561,0.8154,10.8412
Performance,Entertainment,0.0561,0.7465,10.8412
"Core i7, Gaming","Gaming Laptop, Intel",0.0519,1.0,7.8667
Ryzen 7 Octa Core,"16 GB, AMD",0.0519,0.7313,7.1174
"16 GB, AMD",Ryzen 7 Octa Core,0.0519,0.5052,7.1174
"Core i7, Gaming Laptop","Gaming, Intel",0.0519,0.875,7.0598
"DDR4, Performance","Everyday Use, Processing & Multitasking",0.0551,0.8254,6.4395
"DDR4, Entertainment","Everyday Use, Processing & Multitasking",0.0519,0.8167,6.3713
"Processing & Multitasking, Ryzen 5 Hexa Core","AMD, Thin and Light Laptop",0.0519,0.7206,6.2985
Entertainment,"DDR4, Everyday Use, Processing & Multitasking",0.0519,0.7538,6.2976
Performance,"Everyday Use, Processing & Multitasking",0.0604,0.8028,6.2633
Entertainment,"Everyday Use, Processing & Multitasking",0.054,0.7846,6.1213
Performance,"DDR4, Everyday Use, Processing & Multitasking",0.0551,0.7324,6.1184
"16 GB, Gaming Laptop, Intel",Core i7,0.0508,0.6667,5.7212
"DDR4, Ryzen 5 Hexa Core","8 GB, AMD, Processing & Multitasking",0.0519,0.6125,5.5596
"DDR4, Ryzen 5 Hexa Core","8 GB, AMD",0.0689,0.8125,5.558
"Gaming Laptop, Windows 10 Home","DDR4, Gaming, Processing & Multitasking",0.0731,0.5433,5.4562
"DDR4, Gaming, Processing & Multitasking","Gaming Laptop, Windows 10 Home",0.0731,0.734,5.4562
Ryzen 5 Hexa Core,"AMD, Processing & Multitasking, Thin and Light Laptop",0.0519,0.5698,5.4329
"8 GB, Gaming Laptop","DDR4, Gaming, Windows 10 Home",0.0646,0.7176,5.4197
"DDR4, Processing & Multitasking, Ryzen 5 Hexa Core","8 GB, AMD",0.0519,0.7903,5.4063
Ryzen 5 Hexa Core,"8 GB, AMD, Processing & Multitasking",0.054,0.593,5.3828
